usa_vizinhos,n_dimensoes,n_classes,n_atributos,n_exemplos,precisao,cobertura,medida_f
False,10,3,5,150,0.5022222222222222,0.5022222222222222,0.5022222222222222
False,20,3,5,150,0.5022222222222222,0.5022222222222222,0.5022222222222222
False,25,3,5,150,0.5022222222222222,0.5022222222222222,0.5022222222222222
False,10,5,5,150,0.6106666666666667,0.6106666666666667,0.6106666666666667
False,20,5,5,150,0.6106666666666667,0.6106666666666667,0.6106666666666667
False,25,5,5,150,0.6106666666666667,0.6106666666666667,0.6106666666666667
False,10,10,5,150,0.7853333333333333,0.7853333333333333,0.7853333333333333
False,20,10,5,150,0.7853333333333333,0.7853333333333333,0.7853333333333333
False,25,10,5,150,0.7853333333333333,0.7853333333333333,0.7853333333333333
False,10,3,15,150,0.4488888888888889,0.4488888888888889,0.4488888888888889
False,20,3,15,150,0.4488888888888889,0.4488888888888889,0.4488888888888889
False,25,3,15,150,0.4488888888888889,0.4488888888888889,0.4488888888888889
False,10,5,15,150,0.612,0.612,0.612
False,20,5,15,150,0.612,0.612,0.612
False,25,5,15,150,0.612,0.612,0.612
False,10,10,15,150,0.8033333333333333,0.8033333333333333,0.8033333333333333
False,20,10,15,150,0.8033333333333333,0.8033333333333333,0.8033333333333333
False,25,10,15,150,0.8033333333333333,0.8033333333333333,0.8033333333333333
False,10,3,30,150,0.46444444444444444,0.46444444444444444,0.46444444444444444
False,20,3,30,150,0.46444444444444444,0.46444444444444444,0.46444444444444444
False,25,3,30,150,0.46444444444444444,0.46444444444444444,0.46444444444444444
False,10,5,30,150,0.6306666666666667,0.6306666666666667,0.6306666666666667
False,20,5,30,150,0.6306666666666667,0.6306666666666667,0.6306666666666667
False,25,5,30,150,0.6306666666666667,0.6306666666666667,0.6306666666666667
False,10,10,30,150,0.812,0.812,0.8119999999999999
False,20,10,30,150,0.812,0.812,0.8119999999999999
False,25,10,30,150,0.812,0.812,0.8119999999999999
True,10,3,5,150,0.6233333333333333,0.6233333333333333,0.6233333333333333
True,20,3,5,150,0.6468888888888888,0.6468888888888888,0.6468888888888888
True,25,3,5,150,0.6364444444444445,0.6364444444444445,0.6364444444444445
True,10,5,5,150,0.6424,0.6424,0.6424
True,20,5,5,150,0.6426666666666667,0.6426666666666667,0.6426666666666667
True,25,5,5,150,0.6428,0.6428,0.6428
True,10,10,5,150,0.792,0.792,0.792
True,20,10,5,150,0.792,0.792,0.792
True,25,10,5,150,0.792,0.792,0.792
True,10,3,15,150,0.7044444444444444,0.7044444444444444,0.7044444444444444
True,20,3,15,150,0.7044444444444444,0.7044444444444444,0.7044444444444444
True,25,3,15,150,0.7035555555555556,0.7035555555555556,0.7035555555555556
True,10,5,15,150,0.6306666666666667,0.6306666666666667,0.6306666666666667
True,20,5,15,150,0.6308,0.6308,0.6308
True,25,5,15,150,0.6298666666666667,0.6298666666666667,0.6298666666666667
True,10,10,15,150,0.804,0.804,0.804
True,20,10,15,150,0.804,0.804,0.804
True,25,10,15,150,0.804,0.804,0.804
True,10,3,30,150,0.6177777777777778,0.6177777777777778,0.6177777777777778
True,20,3,30,150,0.6168888888888889,0.6168888888888889,0.6168888888888889
True,25,3,30,150,0.6173333333333333,0.6173333333333333,0.6173333333333333
True,10,5,30,150,0.6370666666666667,0.6370666666666667,0.6370666666666667
True,20,5,30,150,0.6373333333333333,0.6373333333333333,0.6373333333333333
True,25,5,30,150,0.6372,0.6372,0.6372
True,10,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
True,20,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
True,25,10,30,150,0.7893333333333333,0.7893333333333333,0.7893333333333333
