metodo,n_dimensoes,n_classes,n_atributos,n_exemplos,thr,precisao,cobertura,medida_f
BASELINE,5,3,5,150,,0.2388888888888889,0.2486111111111111,0.24365305476416585
PROPOSTO,5,3,5,150,,0.4655555555555555,0.4955555555555554,0.4800873474630699
PROPOSTO,5,3,5,150,,0.43111111111111106,0.38888888888888884,0.40891297801866905
PROPOSTO,5,3,5,150,,0.5377777777777778,0.48555555555555563,0.5103341778260345
BASELINE,10,3,5,150,,0.2902777777777778,0.2805555555555556,0.28533387402000543
PROPOSTO,10,3,5,150,,0.4411111111111111,0.4855555555555555,0.462267519317879
PROPOSTO,10,3,5,150,,0.5166666666666667,0.5477777777777778,0.531767571329158
PROPOSTO,10,3,5,150,,0.5166666666666667,0.5455555555555556,0.5307182705718271
BASELINE,25,3,5,150,,0.3530864197530864,0.4728395061728396,0.4042813117053277
PROPOSTO,25,3,5,150,,0.42888888888888893,0.5366666666666668,0.4767625623321827
PROPOSTO,25,3,5,150,,0.5277777777777779,0.5733333333333335,0.549613185334679
PROPOSTO,25,3,5,150,,0.49222222222222217,0.5999999999999998,0.5407934893184129
BASELINE,5,5,5,150,,0.3082716049382716,0.4228395061728395,0.35657894188233036
PROPOSTO,5,5,5,150,,0.3357777777777778,0.4368888888888889,0.37971763653213186
PROPOSTO,5,5,5,150,,0.3524444444444445,0.4924444444444445,0.4108452861067275
PROPOSTO,5,5,5,150,,0.3911111111111112,0.5302222222222224,0.4501645494988477
BASELINE,10,5,5,150,,0.40123456790123474,0.478395061728395,0.43643058262941314
PROPOSTO,10,5,5,150,,0.36543209876543215,0.3933333333333334,0.37886972556676435
PROPOSTO,10,5,5,150,,0.4000000000000001,0.4774444444444446,0.43530454603013813
PROPOSTO,10,5,5,150,,0.45933333333333326,0.5463333333333334,0.4990701579935919
BASELINE,25,5,5,150,,0.37407407407407406,0.41716049382716053,0.39444415549892226
PROPOSTO,25,5,5,150,,0.4346666666666666,0.49588888888888877,0.4632638407960198
PROPOSTO,25,5,5,150,,0.4513333333333334,0.5345555555555556,0.48943190953829974
PROPOSTO,25,5,5,150,,0.40061728395061735,0.47370370370370374,0.43410576631418213
BASELINE,5,10,5,150,,0.2073662551440328,0.41417989417989415,0.2763654274279007
PROPOSTO,5,10,5,150,,0.2273968253968253,0.45577777777777784,0.30341414704667485
PROPOSTO,5,10,5,150,,0.2497777777777778,0.5069841269841271,0.3346716260685554
PROPOSTO,5,10,5,150,,0.2694285714285714,0.5419841269841271,0.35993030268309517
BASELINE,10,10,5,150,,0.229126984126984,0.43815476190476194,0.3009016199623079
PROPOSTO,10,10,5,150,,0.23624603174603165,0.4566507936507937,0.3113939447821584
